GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-01-07,21800592,1610612738,1610612751,2018,1610612738,116,0.505,0.833,0.375,37,43,1610612751,95,0.405,0.909,0.262,19,47,1
2019-01-07,21800593,1610612745,1610612743,2018,1610612745,125,0.5,0.794,0.468,28,34,1610612743,113,0.473,0.857,0.241,26,46,1
2019-01-07,21800594,1610612749,1610612762,2018,1610612749,114,0.469,0.813,0.36,27,46,1610612762,102,0.419,0.696,0.378,20,46,1
2019-01-07,21800595,1610612740,1610612763,2018,1610612740,114,0.557,0.69,0.353,27,40,1610612763,95,0.449,0.833,0.333,28,36,1
2019-01-07,21800596,1610612742,1610612747,2018,1610612742,97,0.419,0.708,0.267,12,52,1610612747,107,0.436,0.63,0.276,28,44,0
2019-01-07,21800597,1610612757,1610612752,2018,1610612757,111,0.471,0.69,0.355,25,51,1610612752,101,0.404,0.815,0.304,18,48,1
2019-01-07,21800598,1610612758,1610612753,2018,1610612758,111,0.459,0.55,0.294,24,57,1610612753,95,0.368,0.75,0.351,15,46,1
2019-01-06,21800584,1610612741,1610612751,2018,1610612741,100,0.466,0.733,0.389,20,44,1610612751,117,0.506,0.773,0.348,29,38,0
2019-01-06,21800585,1610612750,1610612747,2018,1610612750,108,0.461,0.714,0.344,24,50,1610612747,86,0.368,0.607,0.227,20,48,1
2019-01-06,21800586,1610612746,1610612753,2018,1610612746,106,0.43,0.783,0.364,20,53,1610612753,96,0.371,0.724,0.29,24,54,1
2019-01-06,21800587,1610612737,1610612748,2018,1610612737,106,0.473,0.769,0.417,25,59,1610612748,82,0.356,0.556,0.147,23,41,1
2019-01-06,21800588,1610612760,1610612764,2018,1610612760,98,0.432,0.632,0.4,22,41,1610612764,116,0.436,0.818,0.27,25,55,0
2019-01-06,21800589,1610612761,1610612754,2018,1610612761,121,0.518,0.941,0.515,30,41,1610612754,105,0.457,0.75,0.235,24,44,1
2019-01-06,21800590,1610612756,1610612766,2018,1610612756,113,0.518,0.895,0.4,23,36,1610612766,119,0.484,0.706,0.28,22,46,0
2019-01-05,21800576,1610612743,1610612766,2018,1610612743,123,0.461,0.75,0.359,30,46,1610612766,110,0.476,0.808,0.379,22,47,1
2019-01-05,21800577,1610612765,1610612762,2018,1610612765,105,0.476,0.8,0.44,18,44,1610612762,110,0.476,0.781,0.333,24,42,0
2019-01-05,21800578,1610612755,1610612742,2018,1610612755,106,0.47,0.667,0.231,31,49,1610612742,100,0.432,0.652,0.29,27,49,1
2019-01-05,21800579,1610612739,1610612740,2018,1610612739,98,0.409,0.778,0.364,22,34,1610612740,133,0.58,0.862,0.519,29,44,0
2019-01-05,21800580,1610612749,1610612761,2018,1610612749,116,0.494,0.815,0.378,29,38,1610612761,123,0.512,0.806,0.452,28,38,0
2019-01-05,21800581,1610612759,1610612763,2018,1610612759,108,0.493,0.829,0.318,26,43,1610612763,88,0.378,0.789,0.393,21,42,1
2019-01-05,21800582,1610612757,1610612745,2018,1610612757,110,0.457,0.75,0.321,27,47,1610612745,101,0.464,0.833,0.342,13,40,1
2019-01-05,21800583,1610612758,1610612744,2018,1610612758,123,0.474,0.786,0.556,34,43,1610612744,127,0.505,0.857,0.447,29,47,0
2019-01-04,21800567,1610612739,1610612762,2018,1610612739,91,0.39,0.941,0.524,14,39,1610612762,117,0.512,0.864,0.4,28,47,0
2019-01-04,21800566,1610612738,1610612742,2018,1610612738,114,0.438,0.818,0.467,35,53,1610612742,93,0.386,0.737,0.25,16,49,1
2019-01-04,21800568,1610612748,1610612764,2018,1610612748,115,0.484,0.72,0.31,28,48,1610612764,109,0.429,0.789,0.278,24,41,1
2019-01-04,21800569,1610612741,1610612754,2018,1610612741,116,0.516,0.769,0.429,30,40,1610612754,119,0.527,0.706,0.321,25,40,0
2019-01-04,21800570,1610612763,1610612751,2018,1610612763,100,0.452,0.733,0.208,23,40,1610612751,109,0.456,0.923,0.382,25,45,0
2019-01-04,21800571,1610612750,1610612753,2018,1610612750,120,0.516,0.739,0.346,29,54,1610612753,103,0.477,0.526,0.333,28,35,1
2019-01-04,21800572,1610612749,1610612737,2018,1610612749,144,0.55,0.714,0.35,36,54,1610612737,112,0.435,0.686,0.341,26,31,1
2019-01-04,21800573,1610612756,1610612746,2018,1610612756,111,0.532,0.741,0.474,24,25,1610612746,121,0.512,0.781,0.417,31,43,0
2019-01-04,21800574,1610612747,1610612752,2018,1610612747,112,0.439,0.75,0.297,23,55,1610612752,119,0.374,0.829,0.297,20,56,0
2019-01-04,21800575,1610612757,1610612760,2018,1610612757,109,0.432,0.857,0.29,30,50,1610612760,111,0.426,0.885,0.32,18,49,0
2019-01-03,21800563,1610612759,1610612761,2018,1610612759,125,0.553,0.9,0.481,32,44,1610612761,107,0.448,0.793,0.2,21,39,1
2019-01-03,21800564,1610612758,1610612743,2018,1610612758,113,0.5,0.667,0.419,25,33,1610612743,117,0.461,0.7,0.359,24,54,0
2019-01-03,21800565,1610612744,1610612745,2018,1610612744,134,0.52,0.933,0.378,33,47,1610612745,135,0.455,0.857,0.389,30,48,0
2019-01-02,21800554,1610612766,1610612742,2018,1610612766,84,0.356,0.737,0.188,23,46,1610612742,122,0.463,0.889,0.4,31,57,0
